comparison_id	created_at	left_experiment_id	right_experiment_id	left_factor	right_factor	common_dates	common_rows	summary_path	notes
cmp_20260328T175430Z_structural_activity_proxy__avg_trade_notional_bias	2026-03-28T17:54:30.253615+00:00	exp_20260328T173717Z_rc_20260329_structural_activity_proxy_2026	exp_20260328T174546Z_rc_20260329_avg_trade_notional_bias_2026	structural_activity_proxy	avg_trade_notional_bias	2026-01-05,2026-02-24,2026-03-13	27994	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260328T175430Z_structural_activity_proxy__avg_trade_notional_bias/comparison_summary.json	safe factor comparison
cmp_20260328T180316Z_structural_activity_proxy__order_lifecycle_churn	2026-03-28T18:03:16.584281+00:00	exp_20260328T173717Z_rc_20260329_structural_activity_proxy_2026	exp_20260328T180031Z_rc_20260329_order_lifecycle_churn_2026	structural_activity_proxy	order_lifecycle_churn	2026-01-05,2026-02-24,2026-03-13	27951	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260328T180316Z_structural_activity_proxy__order_lifecycle_churn/comparison_summary.json	compare trade activity vs order churn
cmp_20260328T180320Z_avg_trade_notional_bias__order_lifecycle_churn	2026-03-28T18:03:20.757147+00:00	exp_20260328T174546Z_rc_20260329_avg_trade_notional_bias_2026	exp_20260328T180031Z_rc_20260329_order_lifecycle_churn_2026	avg_trade_notional_bias	order_lifecycle_churn	2026-01-05,2026-02-24,2026-03-13	27951	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260328T180320Z_avg_trade_notional_bias__order_lifecycle_churn/comparison_summary.json	compare trade notional vs order churn
cmp_20260328T181928Z_close_vwap_gap_intensity__avg_trade_notional_bias	2026-03-28T18:19:28.651153+00:00	exp_20260328T181910Z_rc_20260329_close_vwap_gap_intensity_2026	exp_20260328T174546Z_rc_20260329_avg_trade_notional_bias_2026	close_vwap_gap_intensity	avg_trade_notional_bias	2026-01-05,2026-02-24,2026-03-13	27994	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260328T181928Z_close_vwap_gap_intensity__avg_trade_notional_bias/comparison_summary.json	compare close-vwap gap vs avg notional
cmp_20260328T181928Z_close_vwap_gap_intensity__structural_activity_proxy	2026-03-28T18:19:28.650855+00:00	exp_20260328T181910Z_rc_20260329_close_vwap_gap_intensity_2026	exp_20260328T173717Z_rc_20260329_structural_activity_proxy_2026	close_vwap_gap_intensity	structural_activity_proxy	2026-01-05,2026-02-24,2026-03-13	27994	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260328T181928Z_close_vwap_gap_intensity__structural_activity_proxy/comparison_summary.json	compare close-vwap gap vs structural activity
cmp_20260328T181928Z_close_vwap_gap_intensity__order_lifecycle_churn	2026-03-28T18:19:28.675868+00:00	exp_20260328T181910Z_rc_20260329_close_vwap_gap_intensity_2026	exp_20260328T180031Z_rc_20260329_order_lifecycle_churn_2026	close_vwap_gap_intensity	order_lifecycle_churn	2026-01-05,2026-02-24,2026-03-13	27951	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260328T181928Z_close_vwap_gap_intensity__order_lifecycle_churn/comparison_summary.json	compare close-vwap gap vs order churn
cmp_20260329T082237Z_structural_activity_proxy__structural_activity_change	2026-03-29T08:22:37.923786+00:00	exp_20260328T173717Z_rc_20260329_structural_activity_proxy_2026	exp_20260329T080841Z_rc_20260329_structural_activity_change_2026	structural_activity_proxy	structural_activity_change	2026-01-05,2026-02-24,2026-03-13	24634	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260329T082237Z_structural_activity_proxy__structural_activity_change/comparison_summary.json	autoresearch cycle comparison
cmp_20260329T082237Z_structural_activity_proxy__avg_trade_notional_bias_change	2026-03-29T08:22:37.935841+00:00	exp_20260328T173717Z_rc_20260329_structural_activity_proxy_2026	exp_20260329T080843Z_rc_20260329_avg_trade_notional_bias_change_2026	structural_activity_proxy	avg_trade_notional_bias_change	2026-01-05,2026-02-24,2026-03-13	24634	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260329T082237Z_structural_activity_proxy__avg_trade_notional_bias_change/comparison_summary.json	autoresearch cycle comparison
cmp_20260329T082237Z_structural_activity_proxy__order_lifecycle_churn_change	2026-03-29T08:22:37.944462+00:00	exp_20260328T173717Z_rc_20260329_structural_activity_proxy_2026	exp_20260329T082058Z_rc_20260329_order_lifecycle_churn_change_2026	structural_activity_proxy	order_lifecycle_churn_change	2026-01-05,2026-02-24,2026-03-13	27641	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260329T082237Z_structural_activity_proxy__order_lifecycle_churn_change/comparison_summary.json	autoresearch cycle comparison
cmp_20260329T082237Z_structural_activity_proxy__close_vwap_gap_intensity_change	2026-03-29T08:22:37.953881+00:00	exp_20260328T173717Z_rc_20260329_structural_activity_proxy_2026	exp_20260329T082218Z_rc_20260329_close_vwap_gap_intensity_change_2026	structural_activity_proxy	close_vwap_gap_intensity_change	2026-01-05,2026-02-24,2026-03-13	24634	/Users/yxin/AI_Workstation/hk_factor_autoresearch/runs/cmp_20260329T082237Z_structural_activity_proxy__close_vwap_gap_intensity_change/comparison_summary.json	autoresearch cycle comparison
